_id,X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
79,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-TF7U-TX4P,AP-MR86-IWF-ROOM,"One City Hall Sq, Pavilion Bld, IWF Room,
Boston, MA 02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,79
80,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-ZDPZ-2LNE,,"1 City Hall Square, Boston, MA 02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,80
81,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-QYJ5-RXEJ,AP-MR86-CS-10,"1 City Hall Square, Boston, MA 02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,81
82,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-95XZ-766Y,,,42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,82
83,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-BFV5-YGNC,City Hall Pavilion - Interior AP2,"One City Hall Sq, Pavilion Bldg
Boston, MA 02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,83
84,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-QMTD-57LD,2nd Floor North Entrance,"1 City Hall Plaza, 
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,84
85,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-M6TA-MFWJ,,,42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,85
86,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-A793-TEM9,,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,86
87,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-R6BQ-D5KN,AP-MR86-CS-27,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,87
88,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-JBPL-DSNV,AP-MR86-CS-23,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,88
89,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-M9YS-PAT8,,"1 City Hall Square, Boston, MA 02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,89
90,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-E75T-LLQX,AP-MR86-CS-37,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,90
91,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-8YNT-BM6Q,AP-MR86-CS-36?,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,91
92,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-WU87-WVGK,3rd Floor Lobby Entrance,"1 City Hall Plaza, 
Boston, MA  02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,92
93,-71.0581405914467,42.3601086714318,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-Q4LQ-6HK3,AP-MR86-CS-09,"1 City Hall Square, Boston, MA 02201",42.3601086714318,-71.0581405914467,['City-Hall'],2024/04/02 07:56:11+00,1,,,,City Hall,93
